RESULT arm=setpoint seed=1 mad=0.1663 inband=0.981 eat=49 survived=true c_ok=true n_scored=53 energies=[0.507, 0.361, 0.215, 0.582, 0.429, 0.785, 0.645, 0.51, 0.863, 0.729, 0.649, 0.574, 0.499, 0.889, 0.745, 0.666, 0.59, 0.509, 0.906, 0.76, 0.681, 0.606, 0.532, 0.949, 0.842, 0.991, 0.847, 0.728, 0.619, 0.498, 0.857, 0.731, 0.612, 0.985, 1.0, 0.881, 0.905, 0.893, 0.948, 0.958, 0.832, 0.695, 0.555, 0.922, 0.774, 0.638, 0.5, 0.422, 0.342, 0.727, ...]
RESULT arm=setpoint seed=2 mad=0.1467 inband=1.0 eat=44 survived=true c_ok=true n_scored=53 energies=[0.771, 0.659, 0.556, 0.961, 0.863, 0.765, 0.648, 0.538, 0.452, 0.837, 0.731, 0.646, 0.57, 0.496, 0.913, 0.823, 0.731, 0.654, 0.578, 0.504, 0.907, 0.82, 0.73, 0.656, 0.547, 0.929, 0.951, 0.828, 0.731, 0.652, 0.563, 0.976, 0.855, 0.738, 0.655, 0.563, 0.964, 0.827, 0.725, 0.916, 0.925, 0.799, 0.697, 0.567, 0.467, 0.359, 0.721, 0.599, 0.469, 0.847, ...]
RESULT arm=setpoint seed=3 mad=0.1845 inband=1.0 eat=32 survived=true c_ok=true n_scored=53 energies=[0.683, 0.99, 0.85, 0.697, 0.933, 0.776, 0.628, 0.866, 0.72, 0.991, 0.849, 0.696, 1.0, 0.83, 0.689, 0.934, 0.783, 0.633, 0.907, 0.763, 0.626, 0.479, 0.852, 0.717, 0.573, 0.875, 0.748, 0.96, 0.823, 1.0, 0.881, 0.744, 0.925, 0.798, 0.661, 0.883, 0.756, 0.921, 0.801, 0.976, 0.842, 0.698, 0.919, 0.783, 0.649, 0.517, 0.882, 0.736, 0.598, 0.968, ...]
RESULT arm=setpoint seed=4 mad=0.2688 inband=0.887 eat= survived=false c_ok=true n_scored=53 energies=[1.0, 1.0, 0.972, 0.972, 0.951, 0.988, 0.956, 0.968, 0.845, 0.899, 0.995, 0.857, 0.966, 0.96, 0.832, 0.97, 0.783, 0.981, 0.949, 0.836, 0.699, 0.567, 0.417, 0.772, 0.955, 0.813, 0.933, 0.806, 0.911, 0.786, 0.673, 0.537, 0.921, 0.766, 0.629, 0.487, 0.338, 0.203, 0.963, 0.813, 0.68, 0.581, 0.441, 0.794, 0.676, 0.542, 0.405, 0.266, 0.115, 0.0, ...]
RESULT arm=setpoint seed=5 mad=0.2303 inband=0.981 eat=44 survived=true c_ok=true n_scored=53 energies=[1.0, 0.99, 0.966, 0.793, 0.932, 0.92, 0.918, 0.959, 0.78, 0.911, 0.76, 0.887, 0.742, 0.88, 0.88, 0.892, 0.748, 0.872, 0.729, 0.867, 0.736, 0.891, 0.743, 0.6, 0.919, 0.776, 0.996, 0.845, 0.801, 0.677, 0.946, 0.946, 0.7, 0.989, 0.959, 0.849, 0.73, 0.957, 0.851, 0.718, 0.986, 0.895, 0.866, 0.692, 0.905, 0.95, 0.834, 0.736, 0.602, 0.469, ...]
RESULT arm=setpoint seed=6 mad=0.2454 inband=0.774 eat= survived=false c_ok=true n_scored=53 energies=[0.582, 0.454, 0.808, 0.7, 0.91, 0.777, 0.608, 0.475, 0.327, 0.206, 1.0, 0.884, 0.723, 0.604, 0.875, 0.785, 0.598, 0.492, 0.86, 0.722, 0.595, 0.493, 0.364, 0.743, 0.642, 0.877, 0.742, 0.623, 0.534, 0.858, 0.77, 0.652, 0.506, 0.374, 0.761, 0.632, 0.502, 0.891, 0.757, 0.609, 0.487, 0.331, 0.18, 0.044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, ...]
RESULT arm=saturable seed=1 mad=0.2728 inband=1.0 eat=174 survived=true c_ok=true n_scored=53 energies=[1.0, 1.0, 0.955, 1.0, 0.98, 0.978, 0.991, 0.991, 0.871, 1.0, 0.918, 0.913, 0.882, 0.912, 0.938, 0.793, 0.901, 0.756, 0.873, 0.949, 0.949, 0.939, 0.919, 0.796, 0.678, 0.967, 0.898, 0.879, 0.746, 0.873, 1.0, 0.863, 0.99, 0.848, 0.977, 0.843, 0.983, 0.926, 0.776, 0.902, 0.948, 0.958, 0.974, 0.964, 0.913, 0.873, 0.738, 0.87, 0.737, 0.877, ...]
RESULT arm=saturable seed=2 mad=0.3019 inband=1.0 eat=358 survived=true c_ok=true n_scored=53 energies=[1.0, 0.99, 0.99, 0.995, 1.0, 1.0, 0.953, 0.991, 0.988, 0.97, 0.98, 0.977, 1.0, 0.99, 1.0, 0.965, 0.985, 0.852, 0.728, 0.964, 0.977, 0.949, 1.0, 0.978, 0.927, 0.958, 0.976, 0.899, 0.972, 0.891, 0.802, 0.973, 0.863, 0.73, 0.935, 0.942, 0.85, 0.94, 0.844, 0.728, 0.949, 1.0, 0.841, 0.712, 1.0, 0.918, 0.964, 0.849, 0.749, 0.97, ...]
RESULT arm=saturable seed=3 mad=0.2578 inband=1.0 eat=183 survived=true c_ok=true n_scored=53 energies=[0.99, 1.0, 1.0, 0.861, 0.977, 0.991, 0.977, 1.0, 0.99, 0.944, 0.92, 0.784, 0.688, 0.923, 0.98, 0.846, 0.938, 0.987, 0.952, 1.0, 0.969, 0.813, 0.905, 0.792, 0.694, 0.876, 0.98, 0.835, 0.713, 0.608, 0.502, 0.892, 0.883, 0.74, 0.901, 0.779, 0.884, 0.756, 0.885, 0.77, 1.0, 0.891, 0.751, 0.89, 0.982, 0.851, 0.986, 0.856, 0.979, 0.846, ...]
RESULT arm=saturable seed=4 mad=0.3422 inband=0.981 eat=368 survived=true c_ok=true n_scored=53 energies=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.994, 0.992, 0.983, 0.989, 1.0, 1.0, 1.0, 1.0, 0.995, 0.987, 0.981, 0.99, 1.0, 0.989, 1.0, 1.0, 0.987, 1.0, 0.986, 0.975, 0.991, 0.981, 0.979, 0.989, 0.925, 0.981, 1.0, 0.932, 0.97, 0.986, 0.951, 1.0, 0.991, 0.993, 0.99, 0.964, 1.0, 0.976, 0.965, 0.845, 0.975, 0.823, 0.688, 0.557, ...]
